timestamp,reading
1707189629.75251,Reading: 4.9 lbs
1707189629.84014,Reading: 4.6 lbs
1707189629.9279,Reading: 4.4 lbs
1707189630.01617,Reading: 4.3 lbs
1707189630.10345,Reading: 4.3 lbs
1707189630.19107,Reading: 4.2 lbs
1707189630.27929,Reading: 4.2 lbs
1707189630.36697,Reading: 4.2 lbs
1707189630.4544,Reading: 4.2 lbs
1707189630.54271,Reading: 4.2 lbs
1707189630.63051,Reading: 4.3 lbs
1707189630.71845,Reading: 4.2 lbs
1707189630.80616,Reading: 4.2 lbs
1707189630.89371,Reading: 4.1 lbs
1707189630.98132,Reading: 4.1 lbs
1707189631.06972,Reading: 4.2 lbs
1707189631.15746,Reading: 4.3 lbs
1707189631.24575,Reading: 4.4 lbs
1707189631.33249,Reading: 4.5 lbs
1707189631.41964,Reading: 4.5 lbs
1707189631.5086,Reading: 4.2 lbs
1707189631.59618,Reading: 3.8 lbs
1707189631.68373,Reading: 3.8 lbs
1707189631.77146,Reading: 3.7 lbs
1707189631.85912,Reading: 3.7 lbs
1707189631.94726,Reading: 3.7 lbs
1707189632.03514,Reading: 3.8 lbs
1707189632.12242,Reading: 3.7 lbs
1707189632.20986,Reading: 3.9 lbs
1707189632.29869,Reading: 3.9 lbs
1707189632.38647,Reading: 3.6 lbs
1707189632.47431,Reading: 3.3 lbs
1707189632.56113,Reading: 3.2 lbs
1707189632.64866,Reading: 3.1 lbs
1707189632.73765,Reading: 3.0 lbs
1707189632.82524,Reading: 3.0 lbs
1707189632.91499,Reading: 3.1 lbs
1707189633.00032,Reading: 3.2 lbs
1707189633.08797,Reading: 3.3 lbs
1707189633.17583,Reading: 3.3 lbs
1707189633.2647,Reading: 3.3 lbs
1707189633.35237,Reading: 3.3 lbs
1707189633.43949,Reading: 3.4 lbs
1707189633.52743,Reading: 3.4 lbs
1707189633.6149,Reading: 3.4 lbs
1707189633.7036,Reading: 3.3 lbs
1707189633.79124,Reading: 3.2 lbs
1707189633.87837,Reading: 3.2 lbs
1707189633.96641,Reading: 3.3 lbs
1707189634.05372,Reading: 3.4 lbs
1707189634.14197,Reading: 3.5 lbs
1707189634.22918,Reading: 3.5 lbs
1707189634.3171,Reading: 3.5 lbs
1707189634.4054,Reading: 3.5 lbs
